;Title;Views;Date;Duration;Date Detail;View Detail;Number of Likes;Number of Comments
111;Man of the World;1.2M views;2 years ago;01:26;Dec 13, 2019;1248939;6300;1868
112;Free Guy Trailer;2.7M views;2 years ago;03:03;Dec 11, 2019;2744119;11500;6439
113;Free Guy | Limited Time Offer;2.3M views;2 years ago;01:47;Dec 6, 2019;2387467;10600;3329
114;Contextual Advertising;2M views;2 years ago;00:43;Nov 22, 2019;2055241;12800;3752
115;I am so sorry about this;7.6M views;2 years ago;00:17;Nov 6, 2019;7618051;27600;8320
116;ASMRDJ;1.7M views;2 years ago;01:00:49;Nov 1, 2019;1740281;10000;6949
117;Deadpool Makeup Tutorial;9.8M views;2 years ago;00:50;Oct 17, 2019;9830032;15100;2884
118;Happy Birthday, Hugh;16M views;2 years ago;02:54;Oct 14, 2019;16428916;46400;6491
119;Free Guy | New York Comic Con;260K views;2 years ago;01:26;Oct 8, 2019;260844;1000;271
120;Free Guy | New Friends;2.3M views;2 years ago;01:54;Oct 4, 2019;2386219;8500;2343
121;6 Underground Trailer;1.5M views;2 years ago;03:08;Oct 1, 2019;1544131;7800;4384
122;Rejected Slogans;3.1M views;2 years ago;01:01;Aug 23, 2019;3171834;15400;3837
123;Bottle Cap Challenge;18M views;3 years ago;00:45;Jul 4, 2019;18499676;88700;19108
124;Dedication;2.7M views;3 years ago;01:10;Jun 5, 2019;2747926;13900;4447
125;Get Ready with Me (Pika Edition);5.9M views;3 years ago;01:01;May 2, 2019;5969669;41600;5577
126;Pikachu uses... Foot Massage?;8.7M views;3 years ago;01:01;May 1, 2019;8736179;18500;Comments are turned off. 
127;What a Pikachu World;67M views;3 years ago;01:20;Apr 22, 2019;67027681;61300;16933
128;Casting Detective Pikachu;38M views;3 years ago;01:14;Apr 10, 2019;38211708;51200;Comments are turned off. 
129;Detective Pikachu | No Clue;2.3M views;3 years ago;00:31;Mar 22, 2019;2339822;6300;2228
130;Becoming Pikachu;8.5M views;3 years ago;01:35;Feb 25, 2019;8527790;41100;10639
131;First Ownerversary;1.3M views;3 years ago;01:29;Feb 22, 2019;1386921;6400;2093
132;Truce;11M views;3 years ago;02:04;Feb 6, 2019;11795716;48500;9792
133;The Process | Aviation Gin;4.6M views;3 years ago;01:41;Dec 13, 2018;4614030;13400;4056
134;Bleeping Yourself;3.1M views;3 years ago;00:31;Dec 12, 2018;3154188;12900;1822
135;Respect the Back;3.4M views;3 years ago;01:43;Dec 10, 2018;3486985;15000;5620
136;Savage Questions;526K views;3 years ago;00:27;Dec 6, 2018;526902;2800;739
137;Once Upon A Deadpool | Official Trailer;554K views;3 years ago;00:59;Nov 19, 2018;554743;2900;1529
138;3 Facts About Hugh Jackman;732K views;3 years ago;00:43;Nov 2, 2018;732998;4000;661
139;Ryan Reynolds & Richard Branson | Announcement;985K views;3 years ago;01:37;Sep 25, 2018;985594;2800;909
140;6 Underground;21M views;3 years ago;00:25;Sep 20, 2018;21757888;87500;15241
141;Deadpool 2 | Don't Skimp On The Powder;248K views;3 years ago;00:39;Aug 22, 2018;248997;1100;302
142;Deadpool No. 2;287K views;3 years ago;00:39;Aug 7, 2018;287647;2000;659
143;Ryan Reynolds’ Twin Returns | Aviation Gin;3.2M views;4 years ago;02:44;Jun 8, 2018;3216323;9600;2169
144;Deadpool 2 Thanks You;557K views;4 years ago;01:09;May 25, 2018;557005;3500;1849
145;Deadpool 2 - The First 10 Years;398K views;4 years ago;01:26;May 17, 2018;398458;2900;805
146;Deadpool 2 | With Apologies to David Beckham;11M views;4 years ago;01:47;May 10, 2018;11601934;26000;2931
147;Deadpool 2 | Eur Missing a Country;273K views;4 years ago;00:59;May 9, 2018;273598;1900;737
148;Deadpool 2: The Final Trailer;338K views;4 years ago;02:24;Apr 19, 2018;338718;2700;2002
149;A Very Special Message from Deadpool;8.6M views;4 years ago;01:14;Apr 4, 2018;8634696;38100;8554
150;Deadpool 2 | The Trailer;654K views;4 years ago;02:40;Mar 22, 2018;654204;2800;1601
151;Deadpool, Meet Cable;1.4M views;4 years ago;02:11;Feb 7, 2018;1425260;4700;2659
152;Deadpool - Brazil Comic Con Tattoos;378K views;4 years ago;02:15;Dec 5, 2017;378607;2100;707
153;Deadpool’s “Wet on Wet” Teaser;3.3M views;4 years ago;02:10;Nov 15, 2017;3349593;16200;3077
154;No Good Deed;30M views;5 years ago;03:42;Mar 4, 2017;30614192;67300;25971
